Article 1,Article 2,Heading 1,Heading 2,Cosine Similarity,Fuzzy Similarity,Final Score,Status
6,26,Serena beats Sharapova to reach semi fi,Dubai plane crash survivor hits 1m j,0.11,0.41,0.2,🟢 Safe
14,30,Narine sinks Proteas in West Indies r,Chandimal century Sri Lanka frustrate England,0.14,0.32,0.2,🟢 Safe
31,40,Time to move on and forget about spot fixing saga Salman Bu,New Zealand record dramatic win over Aussi,0.11,0.42,0.2,🟢 Safe
1,38,Dream comes true as Matthews completes Grand Tour ,Cook ready for Pakistan after Sri Lanka su,0.12,0.4,0.2,🟢 Safe
17,26,Xi pushes China backed trade deals to fill US void,Dubai plane crash survivor hits 1m j,0.11,0.41,0.2,🟢 Safe
5,14,Imran asks India to play positive role for bilateral seri,Narine sinks Proteas in West Indies r,0.13,0.36,0.2,🟢 Safe
19,40,Wales overtake England in FIFA world ranking,New Zealand record dramatic win over Aussi,0.11,0.41,0.2,🟢 Safe
20,34,Time for vigilance against measures hamper trade WTO,Pakistan must speed up reform of energy sector World B,0.15,0.31,0.2,🟢 Safe
5,38,Imran asks India to play positive role for bilateral seri,Cook ready for Pakistan after Sri Lanka su,0.13,0.37,0.2,🟢 Safe
8,29,Hamilton back in the hunt as F1 heads to Baku,Gold slips Brexit tensions ease stocks rally,0.1,0.41,0.2,🟢 Safe
21,24,Asian shares rise dollar nurses losses after jobs ,Economic Survey Pakistan misses GDP targ,0.11,0.43,0.2,🟢 Safe
6,11,Serena beats Sharapova to reach semi fi,Salman Butt can make a successful comeback Geoff L,0.1,0.42,0.2,🟢 Safe
19,49,Wales overtake England in FIFA world ranking,Global diesel demand crumbling warns IEA,0.1,0.43,0.2,🟢 Safe
8,26,Hamilton back in the hunt as F1 heads to Baku,Dubai plane crash survivor hits 1m j,0.1,0.42,0.2,🟢 Safe
8,15,Hamilton back in the hunt as F1 heads to Baku,De Villiers appointed South Africa Test captai,0.1,0.43,0.2,🟢 Safe
8,14,Hamilton back in the hunt as F1 heads to Baku,Narine sinks Proteas in West Indies r,0.12,0.38,0.2,🟢 Safe
4,9,Sri Lanka beat Australia 229 runs clinch seri,Canny Sevilla retain iron grip on Europa League trophy,0.11,0.4,0.2,🟢 Safe
3,6,Asian shares edge lower as Fed rate talk reviv,Serena beats Sharapova to reach semi fi,0.1,0.43,0.2,🟢 Safe
22,41,In form Ali boosts Paki,Hartley Wilson in England Womens squad for Pakistan ODI,0.12,0.39,0.2,🟢 Safe
24,42,Economic Survey Pakistan misses GDP targ,Third of Britons to tighten belts over Brexit ,0.1,0.43,0.2,🟢 Safe
24,37,Economic Survey Pakistan misses GDP targ,Pakistan shares close lower rupee weaker,0.12,0.38,0.2,🟢 Safe
23,46,Karachi win toss bat against Peshawar,England call up uncapped trio for Sri Lanka T20,0.14,0.35,0.2,🟢 Safe
25,49,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Global diesel demand crumbling warns IEA,0.1,0.43,0.2,🟢 Safe
22,31,In form Ali boosts Paki,Time to move on and forget about spot fixing saga Salman Bu,0.11,0.42,0.2,🟢 Safe
22,45,In form Ali boosts Paki,Pakistan win toss opt to field in T20 series decider,0.1,0.43,0.2,🟢 Safe
12,33,Cash bet could make break Modi,strike piles up trade cargoes prolonged stand off feared,0.12,0.4,0.2,🟢 Safe
12,17,Cash bet could make break Modi,Xi pushes China backed trade deals to fill US void,0.11,0.42,0.2,🟢 Safe
11,38,Salman Butt can make a successful comeback Geoff L,Cook ready for Pakistan after Sri Lanka su,0.12,0.41,0.2,🟢 Safe
12,32,Cash bet could make break Modi,Iran says will resist curbs on oil output as part of global ,0.09,0.43,0.2,🟢 Safe
29,34,Gold slips Brexit tensions ease stocks rally,Pakistan must speed up reform of energy sector World B,0.1,0.43,0.2,🟢 Safe
11,22,Salman Butt can make a successful comeback Geoff L,In form Ali boosts Paki,0.11,0.42,0.2,🟢 Safe
9,10,Canny Sevilla retain iron grip on Europa League trophy,Belgium beat Republic of Ireland 3 0 at Euro 2016,0.17,0.28,0.2,🟢 Safe
8,19,Hamilton back in the hunt as F1 heads to Baku,Wales overtake England in FIFA world ranking,0.11,0.42,0.2,🟢 Safe
24,44,Economic Survey Pakistan misses GDP targ,External sharia audits gain traction in Islamic finance study find,0.09,0.43,0.19,🟢 Safe
3,34,Asian shares edge lower as Fed rate talk reviv,Pakistan must speed up reform of energy sector World B,0.08,0.43,0.19,🟢 Safe
26,31,Dubai plane crash survivor hits 1m j,Time to move on and forget about spot fixing saga Salman Bu,0.09,0.42,0.19,🟢 Safe
26,32,Dubai plane crash survivor hits 1m j,Iran says will resist curbs on oil output as part of global ,0.09,0.42,0.19,🟢 Safe
2,38,oil prices up in asi,Cook ready for Pakistan after Sri Lanka su,0.1,0.41,0.19,🟢 Safe
4,16,Sri Lanka beat Australia 229 runs clinch seri,Former England captain Carr dead at 89,0.09,0.42,0.19,🟢 Safe
3,33,Asian shares edge lower as Fed rate talk reviv,strike piles up trade cargoes prolonged stand off feared,0.09,0.42,0.19,🟢 Safe
9,22,Canny Sevilla retain iron grip on Europa League trophy,In form Ali boosts Paki,0.12,0.35,0.19,🟢 Safe
0,47,Dutch climber dies descent Everest summi,Volkswagen says did not breach market disclosure ru,0.1,0.41,0.19,🟢 Safe
37,42,Pakistan shares close lower rupee weaker,Third of Britons to tighten belts over Brexit ,0.09,0.42,0.19,🟢 Safe
36,44,punjab govt presents rs 1.45tr budg,External sharia audits gain traction in Islamic finance study find,0.1,0.42,0.19,🟢 Safe
36,37,punjab govt presents rs 1.45tr budg,Pakistan shares close lower rupee weaker,0.11,0.38,0.19,🟢 Safe
3,17,Asian shares edge lower as Fed rate talk reviv,Xi pushes China backed trade deals to fill US void,0.1,0.42,0.19,🟢 Safe
25,33,Nintendos market cap doubles to 42 billion since Pokemon GO lau,strike piles up trade cargoes prolonged stand off feared,0.1,0.4,0.19,🟢 Safe
9,29,Canny Sevilla retain iron grip on Europa League trophy,Gold slips Brexit tensions ease stocks rally,0.09,0.42,0.19,🟢 Safe
22,46,In form Ali boosts Paki,England call up uncapped trio for Sri Lanka T20,0.12,0.36,0.19,🟢 Safe
2,17,oil prices up in asi,Xi pushes China backed trade deals to fill US void,0.09,0.41,0.19,🟢 Safe
2,6,oil prices up in asi,Serena beats Sharapova to reach semi fi,0.09,0.42,0.19,🟢 Safe
4,8,Sri Lanka beat Australia 229 runs clinch seri,Hamilton back in the hunt as F1 heads to Baku,0.09,0.42,0.19,🟢 Safe
22,23,In form Ali boosts Paki,Karachi win toss bat against Peshawar,0.1,0.4,0.19,🟢 Safe
28,33,Boult strikes hurt Zimbabwe after New Zealand build massive lead,strike piles up trade cargoes prolonged stand off feared,0.11,0.39,0.19,🟢 Safe
29,33,Gold slips Brexit tensions ease stocks rally,strike piles up trade cargoes prolonged stand off feared,0.09,0.42,0.19,🟢 Safe
21,49,Asian shares rise dollar nurses losses after jobs ,Global diesel demand crumbling warns IEA,0.09,0.41,0.19,🟢 Safe
8,40,Hamilton back in the hunt as F1 heads to Baku,New Zealand record dramatic win over Aussi,0.1,0.42,0.19,🟢 Safe
3,44,Asian shares edge lower as Fed rate talk reviv,External sharia audits gain traction in Islamic finance study find,0.09,0.43,0.19,🟢 Safe
8,32,Hamilton back in the hunt as F1 heads to Baku,Iran says will resist curbs on oil output as part of global ,0.1,0.4,0.19,🟢 Safe
3,48,Asian shares edge lower as Fed rate talk reviv,Trade Policy Framework 2015 18 to be announced ,0.1,0.4,0.19,🟢 Safe
11,34,Salman Butt can make a successful comeback Geoff L,Pakistan must speed up reform of energy sector World B,0.09,0.42,0.19,🟢 Safe
12,26,Cash bet could make break Modi,Dubai plane crash survivor hits 1m j,0.1,0.42,0.19,🟢 Safe
12,18,Cash bet could make break Modi,WB acknowledges Pakistans growing economy,0.14,0.3,0.19,🟢 Safe
22,38,In form Ali boosts Paki,Cook ready for Pakistan after Sri Lanka su,0.11,0.37,0.19,🟢 Safe
13,33,oil drops after yemen inspired gai,strike piles up trade cargoes prolonged stand off feared,0.09,0.41,0.19,🟢 Safe
19,31,Wales overtake England in FIFA world ranking,Time to move on and forget about spot fixing saga Salman Bu,0.09,0.43,0.19,🟢 Safe
19,30,Wales overtake England in FIFA world ranking,Chandimal century Sri Lanka frustrate England,0.08,0.42,0.19,🟢 Safe
5,26,Imran asks India to play positive role for bilateral seri,Dubai plane crash survivor hits 1m j,0.09,0.42,0.19,🟢 Safe
8,27,Hamilton back in the hunt as F1 heads to Baku,Brother Brussels suicide bomber Rio Olympi,0.09,0.42,0.19,🟢 Safe
21,36,Asian shares rise dollar nurses losses after jobs ,punjab govt presents rs 1.45tr budg,0.09,0.42,0.19,🟢 Safe
12,47,Cash bet could make break Modi,Volkswagen says did not breach market disclosure ru,0.09,0.43,0.19,🟢 Safe
14,16,Narine sinks Proteas in West Indies r,Former England captain Carr dead at 89,0.11,0.39,0.19,🟢 Safe
30,41,Chandimal century Sri Lanka frustrate England,Hartley Wilson in England Womens squad for Pakistan ODI,0.12,0.37,0.19,🟢 Safe
17,43,Xi pushes China backed trade deals to fill US void,British shoppers begin feel post Brexit pi,0.1,0.41,0.19,🟢 Safe
17,42,Xi pushes China backed trade deals to fill US void,Third of Britons to tighten belts over Brexit ,0.1,0.4,0.19,🟢 Safe
17,44,Xi pushes China backed trade deals to fill US void,External sharia audits gain traction in Islamic finance study find,0.08,0.43,0.19,🟢 Safe
7,46,Rain halts play after Ishant stri,England call up uncapped trio for Sri Lanka T20,0.15,0.28,0.19,🟢 Safe
13,24,oil drops after yemen inspired gai,Economic Survey Pakistan misses GDP targ,0.09,0.42,0.19,🟢 Safe
5,8,Imran asks India to play positive role for bilateral seri,Hamilton back in the hunt as F1 heads to Baku,0.09,0.41,0.19,🟢 Safe
5,9,Imran asks India to play positive role for bilateral seri,Canny Sevilla retain iron grip on Europa League trophy,0.12,0.35,0.19,🟢 Safe
5,34,Imran asks India to play positive role for bilateral seri,Pakistan must speed up reform of energy sector World B,0.1,0.4,0.19,🟢 Safe
7,31,Rain halts play after Ishant stri,Time to move on and forget about spot fixing saga Salman Bu,0.11,0.36,0.19,🟢 Safe
14,19,Narine sinks Proteas in West Indies r,Wales overtake England in FIFA world ranking,0.12,0.36,0.19,🟢 Safe
7,38,Rain halts play after Ishant stri,Cook ready for Pakistan after Sri Lanka su,0.16,0.26,0.19,🟢 Safe
14,17,Narine sinks Proteas in West Indies r,Xi pushes China backed trade deals to fill US void,0.1,0.41,0.19,🟢 Safe
31,46,Time to move on and forget about spot fixing saga Salman Bu,England call up uncapped trio for Sri Lanka T20,0.1,0.4,0.19,🟢 Safe
1,15,Dream comes true as Matthews completes Grand Tour ,De Villiers appointed South Africa Test captai,0.09,0.43,0.19,🟢 Safe
1,10,Dream comes true as Matthews completes Grand Tour ,Belgium beat Republic of Ireland 3 0 at Euro 2016,0.11,0.37,0.19,🟢 Safe
6,17,Serena beats Sharapova to reach semi fi,Xi pushes China backed trade deals to fill US void,0.1,0.42,0.19,🟢 Safe
6,21,Serena beats Sharapova to reach semi fi,Asian shares rise dollar nurses losses after jobs ,0.09,0.43,0.19,🟢 Safe
1,30,Dream comes true as Matthews completes Grand Tour ,Chandimal century Sri Lanka frustrate England,0.11,0.4,0.19,🟢 Safe
17,18,Xi pushes China backed trade deals to fill US void,WB acknowledges Pakistans growing economy,0.15,0.3,0.19,🟢 Safe
6,32,Serena beats Sharapova to reach semi fi,Iran says will resist curbs on oil output as part of global ,0.09,0.42,0.19,🟢 Safe
5,44,Imran asks India to play positive role for bilateral seri,External sharia audits gain traction in Islamic finance study find,0.11,0.4,0.19,🟢 Safe
33,38,strike piles up trade cargoes prolonged stand off feared,Cook ready for Pakistan after Sri Lanka su,0.1,0.42,0.19,🟢 Safe
1,31,Dream comes true as Matthews completes Grand Tour ,Time to move on and forget about spot fixing saga Salman Bu,0.09,0.42,0.19,🟢 Safe
1,14,Dream comes true as Matthews completes Grand Tour ,Narine sinks Proteas in West Indies r,0.1,0.39,0.19,🟢 Safe
15,26,De Villiers appointed South Africa Test captai,Dubai plane crash survivor hits 1m j,0.08,0.42,0.19,🟢 Safe
15,22,De Villiers appointed South Africa Test captai,In form Ali boosts Paki,0.09,0.41,0.19,🟢 Safe
34,42,Pakistan must speed up reform of energy sector World B,Third of Britons to tighten belts over Brexit ,0.1,0.41,0.19,🟢 Safe
34,41,Pakistan must speed up reform of energy sector World B,Hartley Wilson in England Womens squad for Pakistan ODI,0.09,0.43,0.19,🟢 Safe
15,30,De Villiers appointed South Africa Test captai,Chandimal century Sri Lanka frustrate England,0.1,0.39,0.19,🟢 Safe
16,22,Former England captain Carr dead at 89,In form Ali boosts Paki,0.1,0.41,0.19,🟢 Safe
16,23,Former England captain Carr dead at 89,Karachi win toss bat against Peshawar,0.11,0.38,0.19,🟢 Safe
6,38,Serena beats Sharapova to reach semi fi,Cook ready for Pakistan after Sri Lanka su,0.1,0.42,0.19,🟢 Safe
8,47,Hamilton back in the hunt as F1 heads to Baku,Volkswagen says did not breach market disclosure ru,0.1,0.41,0.19,🟢 Safe
10,19,Belgium beat Republic of Ireland 3 0 at Euro 2016,Wales overtake England in FIFA world ranking,0.11,0.39,0.19,🟢 Safe
43,47,British shoppers begin feel post Brexit pi,Volkswagen says did not breach market disclosure ru,0.1,0.39,0.19,🟢 Safe
32,47,Iran says will resist curbs on oil output as part of global ,Volkswagen says did not breach market disclosure ru,0.1,0.43,0.19,🟢 Safe
9,32,Canny Sevilla retain iron grip on Europa League trophy,Iran says will resist curbs on oil output as part of global ,0.09,0.42,0.19,🟢 Safe
11,15,Salman Butt can make a successful comeback Geoff L,De Villiers appointed South Africa Test captai,0.09,0.43,0.19,🟢 Safe
39,49,Power tariff increased for Karachi under FCA,Global diesel demand crumbling warns IEA,0.11,0.38,0.19,🟢 Safe
42,44,Third of Britons to tighten belts over Brexit ,External sharia audits gain traction in Islamic finance study find,0.1,0.4,0.19,🟢 Safe
41,45,Hartley Wilson in England Womens squad for Pakistan ODI,Pakistan win toss opt to field in T20 series decider,0.09,0.39,0.18,🟢 Safe
41,44,Hartley Wilson in England Womens squad for Pakistan ODI,External sharia audits gain traction in Islamic finance study find,0.08,0.42,0.18,🟢 Safe
41,43,Hartley Wilson in England Womens squad for Pakistan ODI,British shoppers begin feel post Brexit pi,0.08,0.41,0.18,🟢 Safe
38,43,Cook ready for Pakistan after Sri Lanka su,British shoppers begin feel post Brexit pi,0.08,0.41,0.18,🟢 Safe
9,33,Canny Sevilla retain iron grip on Europa League trophy,strike piles up trade cargoes prolonged stand off feared,0.07,0.42,0.18,🟢 Safe
9,21,Canny Sevilla retain iron grip on Europa League trophy,Asian shares rise dollar nurses losses after jobs ,0.08,0.42,0.18,🟢 Safe
9,19,Canny Sevilla retain iron grip on Europa League trophy,Wales overtake England in FIFA world ranking,0.09,0.37,0.18,🟢 Safe
9,17,Canny Sevilla retain iron grip on Europa League trophy,Xi pushes China backed trade deals to fill US void,0.07,0.41,0.18,🟢 Safe
9,12,Canny Sevilla retain iron grip on Europa League trophy,Cash bet could make break Modi,0.08,0.41,0.18,🟢 Safe
42,47,Third of Britons to tighten belts over Brexit ,Volkswagen says did not breach market disclosure ru,0.08,0.42,0.18,🟢 Safe
32,36,Iran says will resist curbs on oil output as part of global ,punjab govt presents rs 1.45tr budg,0.08,0.42,0.18,🟢 Safe
16,28,Former England captain Carr dead at 89,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.08,0.42,0.18,🟢 Safe
6,43,Serena beats Sharapova to reach semi fi,British shoppers begin feel post Brexit pi,0.08,0.41,0.18,🟢 Safe
6,34,Serena beats Sharapova to reach semi fi,Pakistan must speed up reform of energy sector World B,0.07,0.43,0.18,🟢 Safe
16,24,Former England captain Carr dead at 89,Economic Survey Pakistan misses GDP targ,0.08,0.43,0.18,🟢 Safe
15,29,De Villiers appointed South Africa Test captai,Gold slips Brexit tensions ease stocks rally,0.08,0.43,0.18,🟢 Safe
15,27,De Villiers appointed South Africa Test captai,Brother Brussels suicide bomber Rio Olympi,0.08,0.41,0.18,🟢 Safe
14,43,Narine sinks Proteas in West Indies r,British shoppers begin feel post Brexit pi,0.08,0.43,0.18,🟢 Safe
1,17,Dream comes true as Matthews completes Grand Tour ,Xi pushes China backed trade deals to fill US void,0.08,0.41,0.18,🟢 Safe
1,16,Dream comes true as Matthews completes Grand Tour ,Former England captain Carr dead at 89,0.08,0.42,0.18,🟢 Safe
33,47,strike piles up trade cargoes prolonged stand off feared,Volkswagen says did not breach market disclosure ru,0.09,0.39,0.18,🟢 Safe
16,40,Former England captain Carr dead at 89,New Zealand record dramatic win over Aussi,0.08,0.41,0.18,🟢 Safe
33,40,strike piles up trade cargoes prolonged stand off feared,New Zealand record dramatic win over Aussi,0.1,0.38,0.18,🟢 Safe
1,27,Dream comes true as Matthews completes Grand Tour ,Brother Brussels suicide bomber Rio Olympi,0.08,0.42,0.18,🟢 Safe
1,26,Dream comes true as Matthews completes Grand Tour ,Dubai plane crash survivor hits 1m j,0.08,0.42,0.18,🟢 Safe
5,46,Imran asks India to play positive role for bilateral seri,England call up uncapped trio for Sri Lanka T20,0.09,0.38,0.18,🟢 Safe
17,24,Xi pushes China backed trade deals to fill US void,Economic Survey Pakistan misses GDP targ,0.07,0.42,0.18,🟢 Safe
16,44,Former England captain Carr dead at 89,External sharia audits gain traction in Islamic finance study find,0.08,0.41,0.18,🟢 Safe
6,30,Serena beats Sharapova to reach semi fi,Chandimal century Sri Lanka frustrate England,0.1,0.36,0.18,🟢 Safe
6,29,Serena beats Sharapova to reach semi fi,Gold slips Brexit tensions ease stocks rally,0.07,0.43,0.18,🟢 Safe
14,32,Narine sinks Proteas in West Indies r,Iran says will resist curbs on oil output as part of global ,0.07,0.42,0.18,🟢 Safe
14,26,Narine sinks Proteas in West Indies r,Dubai plane crash survivor hits 1m j,0.08,0.39,0.18,🟢 Safe
14,24,Narine sinks Proteas in West Indies r,Economic Survey Pakistan misses GDP targ,0.08,0.41,0.18,🟢 Safe
13,49,oil drops after yemen inspired gai,Global diesel demand crumbling warns IEA,0.07,0.42,0.18,🟢 Safe
13,34,oil drops after yemen inspired gai,Pakistan must speed up reform of energy sector World B,0.08,0.42,0.18,🟢 Safe
8,12,Hamilton back in the hunt as F1 heads to Baku,Cash bet could make break Modi,0.08,0.41,0.18,🟢 Safe
32,33,Iran says will resist curbs on oil output as part of global ,strike piles up trade cargoes prolonged stand off feared,0.09,0.4,0.18,🟢 Safe
31,45,Time to move on and forget about spot fixing saga Salman Bu,Pakistan win toss opt to field in T20 series decider,0.08,0.42,0.18,🟢 Safe
1,41,Dream comes true as Matthews completes Grand Tour ,Hartley Wilson in England Womens squad for Pakistan ODI,0.07,0.42,0.18,🟢 Safe
1,40,Dream comes true as Matthews completes Grand Tour ,New Zealand record dramatic win over Aussi,0.08,0.42,0.18,🟢 Safe
31,33,Time to move on and forget about spot fixing saga Salman Bu,strike piles up trade cargoes prolonged stand off feared,0.1,0.36,0.18,🟢 Safe
19,28,Wales overtake England in FIFA world ranking,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.08,0.41,0.18,🟢 Safe
19,27,Wales overtake England in FIFA world ranking,Brother Brussels suicide bomber Rio Olympi,0.07,0.43,0.18,🟢 Safe
18,48,WB acknowledges Pakistans growing economy,Trade Policy Framework 2015 18 to be announced ,0.11,0.35,0.18,🟢 Safe
18,36,WB acknowledges Pakistans growing economy,punjab govt presents rs 1.45tr budg,0.11,0.33,0.18,🟢 Safe
5,42,Imran asks India to play positive role for bilateral seri,Third of Britons to tighten belts over Brexit ,0.08,0.42,0.18,🟢 Safe
5,33,Imran asks India to play positive role for bilateral seri,strike piles up trade cargoes prolonged stand off feared,0.11,0.33,0.18,🟢 Safe
20,49,Time for vigilance against measures hamper trade WTO,Global diesel demand crumbling warns IEA,0.1,0.38,0.18,🟢 Safe
20,25,Time for vigilance against measures hamper trade WTO,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.12,0.33,0.18,🟢 Safe
19,46,Wales overtake England in FIFA world ranking,England call up uncapped trio for Sri Lanka T20,0.1,0.38,0.18,🟢 Safe
19,32,Wales overtake England in FIFA world ranking,Iran says will resist curbs on oil output as part of global ,0.08,0.4,0.18,🟢 Safe
5,17,Imran asks India to play positive role for bilateral seri,Xi pushes China backed trade deals to fill US void,0.09,0.39,0.18,🟢 Safe
12,40,Cash bet could make break Modi,New Zealand record dramatic win over Aussi,0.08,0.41,0.18,🟢 Safe
12,38,Cash bet could make break Modi,Cook ready for Pakistan after Sri Lanka su,0.07,0.42,0.18,🟢 Safe
4,27,Sri Lanka beat Australia 229 runs clinch seri,Brother Brussels suicide bomber Rio Olympi,0.09,0.4,0.18,🟢 Safe
21,33,Asian shares rise dollar nurses losses after jobs ,strike piles up trade cargoes prolonged stand off feared,0.07,0.42,0.18,🟢 Safe
29,41,Gold slips Brexit tensions ease stocks rally,Hartley Wilson in England Womens squad for Pakistan ODI,0.07,0.44,0.18,🟢 Safe
29,40,Gold slips Brexit tensions ease stocks rally,New Zealand record dramatic win over Aussi,0.08,0.42,0.18,🟢 Safe
2,26,oil prices up in asi,Dubai plane crash survivor hits 1m j,0.07,0.42,0.18,🟢 Safe
2,25,oil prices up in asi,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.08,0.43,0.18,🟢 Safe
21,41,Asian shares rise dollar nurses losses after jobs ,Hartley Wilson in England Womens squad for Pakistan ODI,0.08,0.42,0.18,🟢 Safe
21,40,Asian shares rise dollar nurses losses after jobs ,New Zealand record dramatic win over Aussi,0.09,0.41,0.18,🟢 Safe
12,28,Cash bet could make break Modi,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.08,0.42,0.18,🟢 Safe
8,31,Hamilton back in the hunt as F1 heads to Baku,Time to move on and forget about spot fixing saga Salman Bu,0.08,0.42,0.18,🟢 Safe
12,13,Cash bet could make break Modi,oil drops after yemen inspired gai,0.08,0.42,0.18,🟢 Safe
11,48,Salman Butt can make a successful comeback Geoff L,Trade Policy Framework 2015 18 to be announced ,0.07,0.42,0.18,🟢 Safe
4,5,Sri Lanka beat Australia 229 runs clinch seri,Imran asks India to play positive role for bilateral seri,0.08,0.42,0.18,🟢 Safe
3,49,Asian shares edge lower as Fed rate talk reviv,Global diesel demand crumbling warns IEA,0.08,0.41,0.18,🟢 Safe
23,26,Karachi win toss bat against Peshawar,Dubai plane crash survivor hits 1m j,0.09,0.38,0.18,🟢 Safe
22,27,In form Ali boosts Paki,Brother Brussels suicide bomber Rio Olympi,0.08,0.42,0.18,🟢 Safe
4,17,Sri Lanka beat Australia 229 runs clinch seri,Xi pushes China backed trade deals to fill US void,0.08,0.42,0.18,🟢 Safe
27,36,Brother Brussels suicide bomber Rio Olympi,punjab govt presents rs 1.45tr budg,0.09,0.4,0.18,🟢 Safe
26,47,Dubai plane crash survivor hits 1m j,Volkswagen says did not breach market disclosure ru,0.08,0.42,0.18,🟢 Safe
26,34,Dubai plane crash survivor hits 1m j,Pakistan must speed up reform of energy sector World B,0.08,0.41,0.18,🟢 Safe
23,31,Karachi win toss bat against Peshawar,Time to move on and forget about spot fixing saga Salman Bu,0.09,0.4,0.18,🟢 Safe
25,28,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.08,0.42,0.18,🟢 Safe
3,36,Asian shares edge lower as Fed rate talk reviv,punjab govt presents rs 1.45tr budg,0.08,0.42,0.18,🟢 Safe
9,26,Canny Sevilla retain iron grip on Europa League trophy,Dubai plane crash survivor hits 1m j,0.09,0.4,0.18,🟢 Safe
9,25,Canny Sevilla retain iron grip on Europa League trophy,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.07,0.42,0.18,🟢 Safe
43,48,British shoppers begin feel post Brexit pi,Trade Policy Framework 2015 18 to be announced ,0.1,0.37,0.18,🟢 Safe
25,32,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Iran says will resist curbs on oil output as part of global ,0.08,0.43,0.18,🟢 Safe
36,49,punjab govt presents rs 1.45tr budg,Global diesel demand crumbling warns IEA,0.07,0.43,0.18,🟢 Safe
36,42,punjab govt presents rs 1.45tr budg,Third of Britons to tighten belts over Brexit ,0.09,0.42,0.18,🟢 Safe
35,48,Ishaq Dar wants timelines for power projects strictly followed,Trade Policy Framework 2015 18 to be announced ,0.09,0.37,0.18,🟢 Safe
11,28,Salman Butt can make a successful comeback Geoff L,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.07,0.42,0.18,🟢 Safe
11,23,Salman Butt can make a successful comeback Geoff L,Karachi win toss bat against Peshawar,0.09,0.38,0.18,🟢 Safe
0,4,Dutch climber dies descent Everest summi,Sri Lanka beat Australia 229 runs clinch seri,0.07,0.41,0.18,🟢 Safe
0,22,Dutch climber dies descent Everest summi,In form Ali boosts Paki,0.05,0.43,0.17,🟢 Safe
0,8,Dutch climber dies descent Everest summi,Hamilton back in the hunt as F1 heads to Baku,0.06,0.42,0.17,🟢 Safe
0,19,Dutch climber dies descent Everest summi,Wales overtake England in FIFA world ranking,0.05,0.44,0.17,🟢 Safe
6,7,Serena beats Sharapova to reach semi fi,Rain halts play after Ishant stri,0.12,0.29,0.17,🟢 Safe
5,45,Imran asks India to play positive role for bilateral seri,Pakistan win toss opt to field in T20 series decider,0.06,0.44,0.17,🟢 Safe
5,37,Imran asks India to play positive role for bilateral seri,Pakistan shares close lower rupee weaker,0.07,0.41,0.17,🟢 Safe
6,44,Serena beats Sharapova to reach semi fi,External sharia audits gain traction in Islamic finance study find,0.06,0.42,0.17,🟢 Safe
16,48,Former England captain Carr dead at 89,Trade Policy Framework 2015 18 to be announced ,0.06,0.41,0.17,🟢 Safe
6,25,Serena beats Sharapova to reach semi fi,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.06,0.42,0.17,🟢 Safe
6,24,Serena beats Sharapova to reach semi fi,Economic Survey Pakistan misses GDP targ,0.05,0.43,0.17,🟢 Safe
17,41,Xi pushes China backed trade deals to fill US void,Hartley Wilson in England Womens squad for Pakistan ODI,0.06,0.42,0.17,🟢 Safe
17,40,Xi pushes China backed trade deals to fill US void,New Zealand record dramatic win over Aussi,0.07,0.41,0.17,🟢 Safe
17,38,Xi pushes China backed trade deals to fill US void,Cook ready for Pakistan after Sri Lanka su,0.06,0.42,0.17,🟢 Safe
3,8,Asian shares edge lower as Fed rate talk reviv,Hamilton back in the hunt as F1 heads to Baku,0.07,0.39,0.17,🟢 Safe
26,33,Dubai plane crash survivor hits 1m j,strike piles up trade cargoes prolonged stand off feared,0.08,0.37,0.17,🟢 Safe
26,28,Dubai plane crash survivor hits 1m j,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.06,0.41,0.17,🟢 Safe
40,43,New Zealand record dramatic win over Aussi,British shoppers begin feel post Brexit pi,0.08,0.38,0.17,🟢 Safe
9,42,Canny Sevilla retain iron grip on Europa League trophy,Third of Britons to tighten belts over Brexit ,0.08,0.37,0.17,🟢 Safe
9,34,Canny Sevilla retain iron grip on Europa League trophy,Pakistan must speed up reform of energy sector World B,0.07,0.41,0.17,🟢 Safe
19,24,Wales overtake England in FIFA world ranking,Economic Survey Pakistan misses GDP targ,0.06,0.42,0.17,🟢 Safe
19,22,Wales overtake England in FIFA world ranking,In form Ali boosts Paki,0.07,0.42,0.17,🟢 Safe
19,21,Wales overtake England in FIFA world ranking,Asian shares rise dollar nurses losses after jobs ,0.08,0.37,0.17,🟢 Safe
16,27,Former England captain Carr dead at 89,Brother Brussels suicide bomber Rio Olympi,0.07,0.41,0.17,🟢 Safe
16,26,Former England captain Carr dead at 89,Dubai plane crash survivor hits 1m j,0.07,0.42,0.17,🟢 Safe
